round,labeled_size,miou_round,f1_round,epochs_observed,experiment
10,943,0.7468635335571541,0.8334082299477876,10,baseline_wang_style
11,1031,0.7582429544860073,0.843106379588149,10,baseline_wang_style
12,1119,0.7585616131695245,0.8433657233136846,10,baseline_wang_style
13,1207,0.7600765610412746,0.8447641042936027,10,baseline_wang_style
14,1295,0.7536328601273773,0.8390999123510512,10,baseline_wang_style
15,1383,0.7583528231262386,0.8433422488669894,10,baseline_wang_style
1,151,0.6124224310564585,0.69188188665978,10,fixed_k
2,239,0.693632739826525,0.7840651528103819,10,fixed_k
3,327,0.713374098170031,0.8030724740227603,10,fixed_k
4,415,0.7204125787605754,0.8095654720767027,10,fixed_k
5,503,0.7320105869670963,0.8204091276246644,10,fixed_k
6,591,0.7484065524670779,0.8346971848902003,10,fixed_k
7,679,0.7360955830975324,0.823842873024152,10,fixed_k
8,767,0.7618057609617803,0.846278788070665,10,fixed_k
9,855,0.7495905347556647,0.8360558046095512,10,fixed_k
10,943,0.7528297506553298,0.8386177803290993,10,fixed_k
11,1031,0.7633051215072291,0.8474447355408696,10,fixed_k
12,1119,0.7566315612895416,0.8420070058439616,10,fixed_k
13,1207,0.7612796173551376,0.8457098144531443,10,fixed_k
14,1295,0.7530748127683208,0.8386468186508171,10,fixed_k
15,1383,0.7603436929846961,0.8448786613487984,10,fixed_k
1,151,0.6091210614806968,0.6892058033373506,10,fixed_lambda
2,239,0.7022821377959744,0.7922305187865533,10,fixed_lambda
3,327,0.7151978889828174,0.8047190844512677,10,fixed_lambda
4,415,0.7231538871119042,0.8120420849175696,10,fixed_lambda
5,503,0.7230569060639775,0.8121380240478031,10,fixed_lambda
6,591,0.7375918389797503,0.8251943573163384,10,fixed_lambda
7,679,0.7523091997419533,0.8382587948874795,10,fixed_lambda
8,767,0.7511194790726025,0.837347466403889,10,fixed_lambda
9,855,0.7544089540106533,0.8399917889892932,10,fixed_lambda
10,943,0.7595941212767687,0.8443831855462123,10,fixed_lambda
11,1031,0.7646339530740347,0.8487892272362452,10,fixed_lambda
12,1119,0.7537300636350106,0.8394403761592584,10,fixed_lambda
13,1207,0.76675855615035,0.8503763728163539,10,fixed_lambda
14,1295,0.7597690593712036,0.8443838992035988,10,fixed_lambda
15,1383,0.7592056035809502,0.8441067587535211,10,fixed_lambda
1,151,0.6106873756473394,0.6895237610206808,10,full_model_default_thresholds
